"country";"population";"co2.per.capita";"gni.per.capita";"life.expectancy";"hdi"
"Slovenia";2074000;0,842066146402975;4,5992934282041;80,7;0,918
"Solomon Islands";619000;-0,33079280626357;3,39480177716271;70,3;0,564
"South Africa";56208000;0,913000294429143;4,11220269073054;62,3;0,713
"South Sudan";10833000;-0,797707951767299;2,88536122003151;55;0,385
"Spain";46634000;0,747538303998734;4,58381066391311;83;0,905
"Sri Lanka";21021000;0,0396028485698583;4,09961159039253;76,4;0,782
"Sudan";39847000;-0,314590865961537;3,5532760461371;65,3;0,508
"Suriname";565000;0,614561262572991;4,10284516424542;70,3;0,73
"Sweden";9836000;0,640377153327875;4,73630883766247;83;0,947
"Switzerland";8380000;0,669964488878964;4,82564029092681;84;0,962
"Tajikistan";8664000;-0,138033352708163;3,6578204560157;71,6;0,685
"Thailand";68971000;0,611128032570638;4,2312146479626;78,7;0,8
"Togo";7510000;-0,384558523580981;3,33585891131982;61,6;0,539
"Tonga";101000;0,102888595865226;3,83391171507138;71;0,745
"Trinidad and Tobago";1378000;1,46337498992173;4,36906735527777;73;0,81
"Tunisia";11304000;0,409285637910931;4,01106269472973;73,8;0,731
"Turkmenistan";5662000;1,09314447485582;4,11464433890228;69,3;0,745
"Tuvalu";11000;0;3,80284211273907;64,5;0,641
"Uganda";39649000;-0,916538846308362;3,3386556655787;62,7;0,525
"Ukraine";44714000;0,719143368257631;4,12241249541128;71,6;0,773
"United Arab Emirates";9361000;1,3877216830005;4,79639391784155;78,7;0,911
"United Kingdom";66298000;0,779592182176077;4,65537857553185;80,7;0,929
"United States";323016000;1,2144177938702;4,81134036986185;77,2;0,921
"Uruguay";3424000;0,280046760005203;4,32774707125246;75,4;0,809
"Uzbekistan";31442000;0,524596388998256;3,89856064493971;70,9;0,727
"Vanuatu";278000;-0,2767274611699;3,48925516836926;70,4;0,607
"Yemen";27168000;-0,415939947972858;3,11859536522376;63,8;0,455
"Zambia";16363000;-0,529197066360958;3,50758603976301;61,2;0,565
"Zimbabwe";14030000;-0,11303114725325;3,58092497567562;59,3;0,593
